tweet_id,username,text,tweet_url,tweet_date,hashtag,search_term,lat,long,region
1254898856434663424,Mayor Steve Ly (Certified Official),"Please join me, city staff, CSD and public health officials on a town hall meeting regarding Covid-19. #InElkGrove
https://www.facebook.com/587252974685430/posts/2914935895250448/?d=n …pic.twitter.com/NOICpRaSE4",https://twitter.com/EGMayorSteveLy/status/1254898856434663424,2020-04-27 22:22:56,['InElkGrove'],COVID,38.5816,-121.4944,SAC
1254897960728461312,TheofficalOneBonney,I got myself custom made mask #sinnfulthings #coronavirus #covid_19 #stayathome #staysafe #cleanandsanitized @ California https://www.instagram.com/p/B_gDYhenRj5/?igshid=19r1q5phd8kty …,https://twitter.com/Sinnfulthings_1/status/1254897960728461312,2020-04-27 22:19:23,"['sinnfulthings', 'coronavirus', 'covid_19', 'stayathome', 'staysafe', 'cleanandsanitized']",COVID,38.5816,-121.4944,SAC
1254894094725156865,Kurtis Burmeister,"A catchy song about the COVID lockdown we can al sing along with! 
https://youtu.be/1f7OwFqTnco ",https://twitter.com/StrainShadow/status/1254894094725156865,2020-04-27 22:04:01,[],COVID,38.5816,-121.4944,SAC
1254882715955949568,John ↯,"COVID's new album is shit. I can't believe they sold out their fans, and for what??!",https://twitter.com/Moms4MeatyTucks/status/1254882715955949568,2020-04-27 21:18:48,[],COVID,38.5816,-121.4944,SAC
1254880976351580160,AJ💥,I didn’t go to school this semester but if I did (during COVID-19) I couldn’t be able to do it. I can’t motivate myself to sit in front of a screen at home & learn. Some of us are visual learners..,https://twitter.com/AJRicher423/status/1254880976351580160,2020-04-27 21:11:53,[],COVID,38.5816,-121.4944,SAC
1254876194131988480,deni m ❤🏀&⚾&⛳&🏈&🎾,...who knew COVID had any interest in baseball...cruel symptom,https://twitter.com/24bornOrange/status/1254876194131988480,2020-04-27 20:52:53,[],COVID,38.5816,-121.4944,SAC
1254871270966964226,Andy Harris,"Coronavirus: Small business owners file lawsuit against Newsom, Garcetti, other officials over COVID-19 closures https://abc7.com/business/business-owners-file-lawsuit-against-newsom-garcetti-over-covid-19-closures/6132385/ … via @abc7",https://twitter.com/curtisparkandy/status/1254871270966964226,2020-04-27 20:33:20,[],COVID,38.5816,-121.4944,SAC
1254850799689175043,Lynnette Perry,"The way I am fighting through Covid! #justkeepbiking #california #news #pressconference @ Sacramento, California https://www.instagram.com/p/B_ft8DXFj8i/?igshid=zznp26obins1 …",https://twitter.com/NuttersPerry/status/1254850799689175043,2020-04-27 19:11:59,"['justkeepbiking', 'california', 'news', 'pressconference']",COVID,38.5816,-121.4944,SAC
1254826560659456000,Mark 'STAY HOME!' Kewman,"Number 1, 2, and 3 causes of douchechills in COVID related news scripts these days:
3) New Normal
2) These Uncertain Times
1) Devastation.",https://twitter.com/mkewman/status/1254826560659456000,2020-04-27 17:35:40,[],COVID,38.5816,-121.4944,SAC
1254806760352649217,Wandertrek,"I invite you to spend a week with me or one of my colleagues caring for Covid patients in the hospital. Without adequate PPE,s of course. Let’s see how fast you panic. #FlattenTheCurve",https://twitter.com/BewilderedDoc11/status/1254806760352649217,2020-04-27 16:16:59,['FlattenTheCurve'],COVID,38.5816,-121.4944,SAC
1254795390089478145,Rick Allen,"Have you heard that if patience are admitted and classified as Covid-19 the hospital gets a fee of$ 3,000 dollars, & if they are placed on a ventilator the hospital get & additional $39,000. Any room for fraud in this senario?",https://twitter.com/Aclobyrick/status/1254795390089478145,2020-04-27 15:31:48,[],COVID,38.5816,-121.4944,SAC
1254786624707125250,Cyndee Ewing,"Story Time: There once was a girl who thought she had tried most exotic fruits in the world and was sad that she might not be able to experience anything new until after covid-19. Then one day, her friend drewjfibus… https://www.instagram.com/p/B_fQwH9gUaY/?igshid=u8rov6laizc3 …",https://twitter.com/cyndeede/status/1254786624707125250,2020-04-27 14:56:58,[],COVID,38.5816,-121.4944,SAC
1254760905994190849,Maahes,"The protesters?  Hell, yes.  I’d like to see them die before they can spread COVID-19.  Also, die outside of the healthcare system so they don’t burden those nurses with their stupid selves.",https://twitter.com/unaweep1/status/1254760905994190849,2020-04-27 13:14:46,[],COVID,38.5816,-121.4944,SAC
1254746069885267969,bianca,I just made a donation to @unfpa to help them protect the most vulnerable during COVID-19 - will you consider doing the same? https://donate.unfpa.org/covid-19 ,https://twitter.com/yungblancc/status/1254746069885267969,2020-04-27 12:15:49,[],COVID,38.5816,-121.4944,SAC
1254655131292889088,Tylenol and gatorade 🦠🧫,Fuck I ain’t smell pussy in over a month covid got me un-fuckedup,https://twitter.com/miahmane/status/1254655131292889088,2020-04-27 06:14:28,[],COVID,38.5816,-121.4944,SAC
1254593961789755392,Megan Whitman,The fossil fuel industry has been plagued by bankruptcies for years -- but now it's pretending its financial woes are from COVID. @RepMaxineWaters: Use your power as @FSCDems chair to stop this admin from bailing out Big Oil! #NoBigOilBailout @caclimatehealth,https://twitter.com/MeganWhitman7/status/1254593961789755392,2020-04-27 02:11:24,['NoBigOilBailout'],COVID,38.5816,-121.4944,SAC
1254898856434663424,Mayor Steve Ly (Certified Official),"Please join me, city staff, CSD and public health officials on a town hall meeting regarding Covid-19. #InElkGrove
https://www.facebook.com/587252974685430/posts/2914935895250448/?d=n …pic.twitter.com/NOICpRaSE4",https://twitter.com/EGMayorSteveLy/status/1254898856434663424,2020-04-27 22:22:56,['InElkGrove'],COVID,38.5816,-121.4944,SAC
1254897960728461312,TheofficalOneBonney,I got myself custom made mask #sinnfulthings #coronavirus #covid_19 #stayathome #staysafe #cleanandsanitized @ California https://www.instagram.com/p/B_gDYhenRj5/?igshid=19r1q5phd8kty …,https://twitter.com/Sinnfulthings_1/status/1254897960728461312,2020-04-27 22:19:23,"['sinnfulthings', 'coronavirus', 'covid_19', 'stayathome', 'staysafe', 'cleanandsanitized']",COVID,38.5816,-121.4944,SAC
1254894094725156865,Kurtis Burmeister,"A catchy song about the COVID lockdown we can al sing along with! 
https://youtu.be/1f7OwFqTnco ",https://twitter.com/StrainShadow/status/1254894094725156865,2020-04-27 22:04:01,[],COVID,38.5816,-121.4944,SAC
1254882715955949568,John ↯,"COVID's new album is shit. I can't believe they sold out their fans, and for what??!",https://twitter.com/Moms4MeatyTucks/status/1254882715955949568,2020-04-27 21:18:48,[],COVID,38.5816,-121.4944,SAC
1254880976351580160,AJ💥,I didn’t go to school this semester but if I did (during COVID-19) I couldn’t be able to do it. I can’t motivate myself to sit in front of a screen at home & learn. Some of us are visual learners..,https://twitter.com/AJRicher423/status/1254880976351580160,2020-04-27 21:11:53,[],COVID,38.5816,-121.4944,SAC
1254876194131988480,deni m ❤🏀&⚾&⛳&🏈&🎾,...who knew COVID had any interest in baseball...cruel symptom,https://twitter.com/24bornOrange/status/1254876194131988480,2020-04-27 20:52:53,[],COVID,38.5816,-121.4944,SAC
1254871270966964226,Andy Harris,"Coronavirus: Small business owners file lawsuit against Newsom, Garcetti, other officials over COVID-19 closures https://abc7.com/business/business-owners-file-lawsuit-against-newsom-garcetti-over-covid-19-closures/6132385/ … via @abc7",https://twitter.com/curtisparkandy/status/1254871270966964226,2020-04-27 20:33:20,[],COVID,38.5816,-121.4944,SAC
1254850799689175043,Lynnette Perry,"The way I am fighting through Covid! #justkeepbiking #california #news #pressconference @ Sacramento, California https://www.instagram.com/p/B_ft8DXFj8i/?igshid=zznp26obins1 …",https://twitter.com/NuttersPerry/status/1254850799689175043,2020-04-27 19:11:59,"['justkeepbiking', 'california', 'news', 'pressconference']",COVID,38.5816,-121.4944,SAC
1254826560659456000,Mark 'STAY HOME!' Kewman,"Number 1, 2, and 3 causes of douchechills in COVID related news scripts these days:
3) New Normal
2) These Uncertain Times
1) Devastation.",https://twitter.com/mkewman/status/1254826560659456000,2020-04-27 17:35:40,[],COVID,38.5816,-121.4944,SAC
1254806760352649217,Wandertrek,"I invite you to spend a week with me or one of my colleagues caring for Covid patients in the hospital. Without adequate PPE,s of course. Let’s see how fast you panic. #FlattenTheCurve",https://twitter.com/BewilderedDoc11/status/1254806760352649217,2020-04-27 16:16:59,['FlattenTheCurve'],COVID,38.5816,-121.4944,SAC
1254795390089478145,Rick Allen,"Have you heard that if patience are admitted and classified as Covid-19 the hospital gets a fee of$ 3,000 dollars, & if they are placed on a ventilator the hospital get & additional $39,000. Any room for fraud in this senario?",https://twitter.com/Aclobyrick/status/1254795390089478145,2020-04-27 15:31:48,[],COVID,38.5816,-121.4944,SAC
1254786624707125250,Cyndee Ewing,"Story Time: There once was a girl who thought she had tried most exotic fruits in the world and was sad that she might not be able to experience anything new until after covid-19. Then one day, her friend drewjfibus… https://www.instagram.com/p/B_fQwH9gUaY/?igshid=u8rov6laizc3 …",https://twitter.com/cyndeede/status/1254786624707125250,2020-04-27 14:56:58,[],COVID,38.5816,-121.4944,SAC
1254760905994190849,Maahes,"The protesters?  Hell, yes.  I’d like to see them die before they can spread COVID-19.  Also, die outside of the healthcare system so they don’t burden those nurses with their stupid selves.",https://twitter.com/unaweep1/status/1254760905994190849,2020-04-27 13:14:46,[],COVID,38.5816,-121.4944,SAC
1254746069885267969,bianca,I just made a donation to @unfpa to help them protect the most vulnerable during COVID-19 - will you consider doing the same? https://donate.unfpa.org/covid-19 ,https://twitter.com/yungblancc/status/1254746069885267969,2020-04-27 12:15:49,[],COVID,38.5816,-121.4944,SAC
1254655131292889088,Tylenol and gatorade 🦠🧫,Fuck I ain’t smell pussy in over a month covid got me un-fuckedup,https://twitter.com/miahmane/status/1254655131292889088,2020-04-27 06:14:28,[],COVID,38.5816,-121.4944,SAC
1254593961789755392,Megan Whitman,The fossil fuel industry has been plagued by bankruptcies for years -- but now it's pretending its financial woes are from COVID. @RepMaxineWaters: Use your power as @FSCDems chair to stop this admin from bailing out Big Oil! #NoBigOilBailout @caclimatehealth,https://twitter.com/MeganWhitman7/status/1254593961789755392,2020-04-27 02:11:24,['NoBigOilBailout'],COVID,38.5816,-121.4944,SAC
