tweet_id,username,text,tweet_date,tweet_url,search_term
1249485388093128704,Paul Francis Sullivan (Please Call Me Sully),"You know COVID 19 is a virus, right?",2020-04-12 23:51:45,https://twitter.com/sullybaseball/status/1249485388093128704,COVID
1249483146950631424,Rafael,I’m going to Japan once all this Covid-19 is over.,2020-04-12 23:42:51,https://twitter.com/iamrafaelez/status/1249483146950631424,COVID
1249482627695992837,Clarisse Casilang,"Hello, world! Yep, I’m still here. Lent + COVID Quarantine = Lots of Me Time. So, I found it appropriate on Easter Sunday, the day of Resurrection, to resurface and share all of the… https://www.instagram.com/p/B-5kxhqle9Cs0GRkjLaorl3syd5kyHidVqvRoo0/?igshid=1xh8wun0j5irq …",2020-04-12 23:40:47,https://twitter.com/DrClarisse/status/1249482627695992837,COVID
1249481734925606912,Guilford Adams,"As bad as the US administration is with Covid-19, I shutter to think of the intel they are neglecting on Climate Change #getthemout #ClimateChange #ClimateCrisis",2020-04-12 23:37:14,https://twitter.com/guilfordadams/status/1249481734925606912,COVID
1249480409294860288,"Kerri Rose Marie Cissna, Ph.D.",How did he know?!? Bill Gates predicts #COVID__19 https://youtu.be/6Af6b_wyiwI  #COVID2019 #coronavirus,2020-04-12 23:31:58,https://twitter.com/KerriCissna/status/1249480409294860288,COVID
1249477535450066944,Dr. Ikrar,"Ivermectin vs. COVID-19 
https://youtu.be/W3y0-_whxXI ",2020-04-12 23:20:33,https://twitter.com/TarunaIkrar/status/1249477535450066944,COVID
1249477075691433985,ALO|WVNG,She covid thick,2020-04-12 23:18:43,https://twitter.com/DJMWANG/status/1249477075691433985,COVID
1249473422830096384,Raul Juarez,It's actually called COVID-19 that falls under the umbrella that is coronavirus.,2020-04-12 23:04:12,https://twitter.com/hiimraul33/status/1249473422830096384,COVID
1249473236468772865,sassafras,"They would not have died-but for CoVid. People w/ chronic health conditions may be more fragile but they could have lives for decades. Also, perfectly healthy young people die from CoVid, including someone like you, although weight is a risk factor, as is smoking. Think about it.",2020-04-12 23:03:28,https://twitter.com/glr4cblaw/status/1249473236468772865,COVID
1249472755541524480,TYRIN (GOD OF ☮️),"COVID-19 
Can’t do the no crowd thing & tbh I want the wrestlers to all be safe. Plus they all need the break, all that time they spend on the road...this will be the perfect time for WWE to take that off season, they never want to take.
Wrestlemania was fine, but still...",2020-04-12 23:01:33,https://twitter.com/TheRealTJP_/status/1249472755541524480,COVID
1249471643157590016,Grant Broggi,"I went from 240 down to 210.

Sqt:  500 to 474

deadlift: 560 to 525

press: 255 to 235

Don’t PR on the diet. Diet hard but train as hard as can. Go to 215. 

Then maintain and build strength. 

Before COVId at new BW  my squat was back to 445x5 (450x5 is PR).

Loose fat then PR",2020-04-12 22:57:08,https://twitter.com/GrantSSC/status/1249471643157590016,COVID
1249471328744124418,Avery Martinez,"I don’t understand why people can’t fathom the NEED TO STAY HOME. This isn’t a “quality of life” issue. YES I understand people miss their families/friends/loved ones but what feels worse? 
Not seeing someone for two months or killing them because you had COVID and didn’t know?",2020-04-12 22:55:53,https://twitter.com/AveryMM15/status/1249471328744124418,COVID
1249471078704885761,Toni Pascual,"On this COVID-19 #COVID19 #Coronavirus Pandemic we @mcgidotorg are providing each and everyone of you to WATCH FREE Ang Dating Daan @TheOldPathTV  Bible Study https://youtu.be/Mnga3c9nMKA  via @YouTube

May GOD ALMIGHTY Guide all you!

Hosted by @BroEliSoriano",2020-04-12 22:54:53,https://twitter.com/antzp37LA_USA/status/1249471078704885761,COVID
1249470081395916800,MK,"If you notice price gouging or large scale resale of PPE & essential COVID-19 related supplies, you can report directly to the Feds.

Via: mailto:disaster@leo.gov 
It’s still the Grifter’s justice department, but if it’s large scale they may act.

You can also call (866) 720-5721",2020-04-12 22:50:56,https://twitter.com/MKLiebmann/status/1249470081395916800,COVID
1249469519577243648,kyle harrison,look at them thriving post covid w their universal healthcare & such <3,2020-04-12 22:48:42,https://twitter.com/__kyleharrison/status/1249469519577243648,COVID
1249469264928468992,Josh Abner Vizcay,What Pods are making you $$$ in this recession ? #ESBC is as #COVID__19 DISTRACTION “No days off” Mortage+ Rent+ Gas must be paid. Listen-Enjoy-Learn @DJBugsy215 @portland76er @DrSteveAlbrecht @YoKweav @zGuz @AaronJFentress @ScottKaplan @TonyBrunoShow @katherinesayre @Tim_Chaddhttps://twitter.com/FerstReport/status/1249465949444431873 …,2020-04-12 22:47:41,https://twitter.com/josuevizcay/status/1249469264928468992,COVID
1249468669823840256,BaldwinParkNews,"There are 25 cases of COVID-19 in the City of Baldwin Park now. Three additional cases came up bringing the number to 25 as of Sunday April 12, 2020 according to the Los Angeles County Department of Public Health.",2020-04-12 22:45:19,https://twitter.com/BaldwinPNews/status/1249468669823840256,COVID
1249467413051179011,fitaphysical,"Maskuerade
•
Daily living in LA and around the world to possibly be protected from COVID-19. There’s no party or pretending to be someone else.
•

Mandatory in Los Angeles since 4/10/20, face coverings are now… https://www.instagram.com/p/B-5d2qgDC2U/?igshid=1wutjfnrynlap …",2020-04-12 22:40:19,https://twitter.com/fitaphysical/status/1249467413051179011,COVID
1248762629302018048,Peter Roberts,"If Trump is doing such a great job, WHY does the USA have 30% of the global COVID-19 cases, 20% of the deaths, but ONLY 3% of the total population? I’d like to hear the asshole “spin” those facts!",2020-04-10 23:59:46,https://twitter.com/ManFromMarina/status/1248762629302018048,COVID
1248762563329810434,Claudio Hernandez,"@MyCielola, @FIOB_Oficial, @MayanLeague among other indigenous organizations denounce discriminatory reponse to COVID-19. https://dgrnewsservice.org/civilization/colonialism/indigenous-peoples-denounce-discriminatory-response-to-covid-19/?fbclid=IwAR0TkATR00J_NBa_dm1NQEuOrxm4svQkbPdHPdRrFF2u2n7jabXsOJC70Fg …",2020-04-10 23:59:30,https://twitter.com/clau_deeoh/status/1248762563329810434,COVID
1248762143224164352,BeatrizAcevedo,"Felices 90th Dolores Huerta! You have worked tirelessly to help improve the lives of our communities now being disproportionately impacted by COVID-19. Please consider donating $90 to celebrate her 90 years of activism. 
#SiSePuede #90for90 #DHF
Link here. https://bit.ly/90for90DH pic.twitter.com/HVv0N5bLm5",2020-04-10 23:57:50,https://twitter.com/Bea_latina/status/1248762143224164352,COVID
1248762026060435456,Claudio Hernandez,"@MyCielola, @FIOB_Oficial, @MayanLeague entre otras organizaciones denuncian una respuesta discriminatoria ante COVID-19. https://medium.com/@PrensaComunitar/los-pueblos-ind%C3%ADgenas-en-la-di%C3%A1spora-denuncian-una-respuesta-discriminatoria-ante-covid-19-727be2ec3bfe …",2020-04-10 23:57:22,https://twitter.com/clau_deeoh/status/1248762026060435456,COVID
1248761708182515712,Coach Dos,Median age of covid 19 deaths is 86 (but) life expectancy is 79 (therefore) open businesses  kind of hard to misconstrue?,2020-04-10 23:56:06,https://twitter.com/robertdos/status/1248761708182515712,COVID
1248760593269444608,Groovy スティーブン⚜️,niggas either gon get covid or die of starvation at this point bro i did not plan on taking a 2 month vacation  https://twitter.com/ABC7/status/1248707475349499905 …,2020-04-10 23:51:40,https://twitter.com/groovysteven/status/1248760593269444608,COVID
1248759539110797313,Ashley Haren,"Tonight is my first of FIVE shifts in a row, a stretch of 5 is exhausting but more so with covid patients! It’s extremely draining mentally, physically and emotionally!
Please send prayers, positive vibes or coffee! 
P.S! Stay home, social distance, and wash your hands!",2020-04-10 23:47:29,https://twitter.com/Haren_15/status/1248759539110797313,COVID
1248758763214876672,Jack,Masks required in essential businesses in Long Beach. A win for fighting covid! https://twitter.com/LongBeachPost/status/1248757849217314816 …,2020-04-10 23:44:24,https://twitter.com/Jac5Connor/status/1248758763214876672,COVID
1248758666070720512,Jasmine Ann,Happy National Siblings Days to my annoying - adorable litte sisters  I wish this COVID 19 would go away so we can go to the Disney World this year  here are some of my favorite moments from when we went to… https://www.instagram.com/p/B-0bjUUgiVu/?igshid=14rr52ibq5bcq …,2020-04-10 23:44:01,https://twitter.com/princessj228/status/1248758666070720512,COVID
1248757752261947392,Dr Wendell Davis Sr,"L.A. Pastor Succumbs To COVID-19 https://lafocusnewspaper.com/l-a-pastor-succumbs-to-covid-19/ … I’m totally devastated right now, my heart is crushed, I’m broken.",2020-04-10 23:40:23,https://twitter.com/drwjdsrHAWL/status/1248757752261947392,COVID
1248757634741628928,bryan,Where are all covid 19 conspiracy theories threads at???,2020-04-10 23:39:55,https://twitter.com/SpaceScoundrel6/status/1248757634741628928,COVID
1248756823336685569,Mystery Moji Films 🎃,If Covid-19 had a laugh https://twitter.com/BADMAMl/status/1248378193758679051 …,2020-04-10 23:36:42,https://twitter.com/MysteryMoji/status/1248756823336685569,COVID
1248756135160451072,James Storehouse California,"Thank you @PODSTriCounties for helping us get COVID-19 resources to aged out youth, foster families, and to those who have had to flee domestic violence during this stay-at-home order. Loved their “virtual check presentation” as this is a very important week to stay home! pic.twitter.com/SpDWQ7W9r8",2020-04-10 23:33:58,https://twitter.com/JamesStorehouse/status/1248756135160451072,COVID
1248756130479853568,Mr. I Don't Care,"Sickest rhyme I ever wrote. #essentialworkers with symptoms, feel free to forward. #covid #spokenword @ Long Beach, California https://www.instagram.com/p/B-0aC9Eg6y_/?igshid=1fcpyjhewy6hc …",2020-04-10 23:33:56,https://twitter.com/JoFiveIV/status/1248756130479853568,COVID
1248754590570270722,September 2⃣,Covid-19 Jokes up  pic.twitter.com/oINhQQaDUU,2020-04-10 23:27:49,https://twitter.com/Only1BigH/status/1248754590570270722,COVID
1248754522626768896,Henry Mayo Hospital,"Tom Chiang, M.D., discusses what you need to know about COVID-19 on our most recent episode of It's Your Health Radio Podcast. Learn how to keep you and your family safe, what the symptoms are, and how we are caring for our community. https://www.henrymayo.com/community/it-s-your-health-podcast/ … – at Henry Mayo Newhall Memorial Hospital",2020-04-10 23:27:33,https://twitter.com/HenryMayoHosp/status/1248754522626768896,COVID
1249124595740880896,FÁBIO BORGES,"COVID-19 OLD WEST STYLE.              #covid_19 #coronavirus #mask #mascara #washyourhands #wearamask #stayhome #fiqueemcasa #fabioborgestv #losangeles #oldwest @ Los Angeles, California https://www.instagram.com/p/B-3B9g1lpqM/?igshid=15yifd4vkes62 …",2020-04-11 23:58:05,https://twitter.com/FabioBorgesTV/status/1249124595740880896,COVID
1249124476530446337,LauraLee O'Shell,"Happy Covid-19 Saturday!  Ready for the Easter Bunny tomorrow?! @myglendale #easter2020 #petercottontail #coronavirüsü #wewillsurvive @ Glendale, California https://www.instagram.com/p/B-3B5-3p2X-/?igshid=1xeu3yybxffbl …",2020-04-11 23:57:37,https://twitter.com/lauraleeoshell/status/1249124476530446337,COVID
1249124278848684033,Miriam,Yeah so related to covid 19,2020-04-11 23:56:50,https://twitter.com/MiriamIrvine/status/1249124278848684033,COVID
1249123069878304769,Carmela Tunzi,"@cscpasadena #hypnosis #stress #cancer #cancersucks #covid-19 #times #latimes @ Los Angeles, California https://www.instagram.com/p/B-3BQ_0h5zN/?igshid=5q0v8je2k3vs …",2020-04-11 23:52:02,https://twitter.com/Carmela_Tunzi/status/1249123069878304769,COVID
1249122494197501954,Dr. Kevin Michael Craiger,#COVID__19 #Accurate I believe we have similar genetics @zingaleshttps://twitter.com/zingales/status/1248716251507109889 …,2020-04-11 23:49:44,https://twitter.com/KevinMacavoy/status/1249122494197501954,COVID
1249121104683323392,Victoria Looseleaf,"Our latest @FjordReview Dance in the Time of COVID. We speak to 4 LA dance directors 2 see how they’re coping, creating and staying optimistic. @BodyTraffic @heididuckler @sarahelgart @Diavolo_LA https://bit.ly/2VqkGDY  #staysafe #stayhome #stayhealthy #WeWillPrevail #DoYourPartpic.twitter.com/348va6jHUz",2020-04-11 23:44:13,https://twitter.com/looseleafreport/status/1249121104683323392,COVID
1249120202089955328,🇺🇸 The Hardcore American Patriot 🇺🇸, MUST READ IF YOU ARE IN LOS ANGELES COUNTY: Los Angeles County & L.A. Mayor Eric Garcetti have extended the Safer At Home order to May 15 in a continuing effort to curb the spread of COVID-19.  pic.twitter.com/IKedV0h1jl,2020-04-11 23:40:38,https://twitter.com/HomiesForTrump/status/1249120202089955328,COVID
1249120066999848960,Claudia,"Give me strength. I was following the stay at home orders but broke my uncle, had surgery and had to be in the hospital for 6 days. I am back home with a cast and a walker for two weeks taking precautions as I have Covid-16. Difficult times ",2020-04-11 23:40:06,https://twitter.com/claudia_clo131/status/1249120066999848960,COVID
1249119679236452357,𝐉eff 𝐆orell,#LAStrong #COVID__19pic.twitter.com/UxZFL87rFU,2020-04-11 23:38:33,https://twitter.com/JeffGorell/status/1249119679236452357,COVID
1249119383634489346,CarynWestSFA,"I need some good news today. Anybody know if Roger Stone, found guilty on all 7 counts , is finally in jail and because of COVID , there was no one at his entry to see his Nixon victory  grandstand gestures ?",2020-04-11 23:37:23,https://twitter.com/CarynWestSFA/status/1249119383634489346,COVID
1249118596573417474,Victoria,I call this one “give me back my sports before I cry you piece of shit covid” pic.twitter.com/TIkCg6B9KL,2020-04-11 23:34:15,https://twitter.com/yeahvictoriaaa_/status/1249118596573417474,COVID
